Key,comment,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id
ControlMode_Automatic,自動,自動,Automatic,自动,自動,자동,Automático,تلقائي,Otomatis
ControlMode_Manual,手動,手動,Manual,手动,手動,수동,Manual,يدوي,Manual
DebugViewMode_Result,最終結果,最終結果,Result,最终结果,最終結果,최종 결과,Resultado,النتيجة,Hasil
DebugViewMode_NoiseView,ノイズ表示,ノイズ表示,Noise View,噪声视图,噪聲視圖,노이즈 보기,Vista de ruido,عرض الضوضاء,Tampilan Noise
GroupName_ControlMode,操作モード,操作モード,Control Mode,操作模式,操作模式,제어 모드,Modo de control,وضع التحكم,Mode Kontrol
Name_ControlMode,モード切替,モード切替,Mode Switch,模式切换,模式切換,모드 전환,Cambio de modo,تبديل الوضع,Ganti Mode
Description_ControlMode,"操作モードを、直感的な「自動」と、詳細な「手動」で切り替えます。","操作モードを、直感的な「自動」と、詳細な「手動」で切り替えます。","Switches the control mode between intuitive ""Automatic"" and detailed ""Manual"".","在直观的“自动”和详细的“手动”之间切换控制模式。","在直觀的“自動”和詳細的“手動”之間切換控制模式。","직관적인 ""자동"" 모드와 상세한 ""수동"" 모드 간에 제어 모드를 전환합니다.","Cambia el modo de control entre el ""Automático"" intuitivo y el ""Manual"" detallado.","يقوم بتبديل وضع التحكم بين ""تلقائي"" سهل الاستخدام و ""يدوي"" مفصل.","Beralih mode kontrol antara ""Otomatis"" yang intuitif dan ""Manual"" yang terperinci."
GroupName_AutoSettings,自動設定,自動設定,Automatic Settings,自动设定,自動設定,자동 설정,Configuración automática,الإعدادات التلقائية,Pengaturan Otomatis
Name_Temperature,温度,温度,Temperature,温度,溫度,온도,Temperatura,درجة الحرارة,Suhu
Description_Temperature,"現実の温度を模倣して、揺らぎの強さや速さを自動調整します。","現実の温度を模倣して、揺らぎの強さや速さを自動調整します。","Automatically adjusts the strength and speed of the shimmer by simulating real-world temperature.","通过模拟真实世界的温度，自动调整闪烁的强度和速度。","通過模擬真實世界的溫度，自動調整閃爍的強度和速度。","실제 온도를 시뮬레이션하여 반짝임의 강도와 속도를 자동으로 조정합니다.","Ajusta automáticamente la intensidad y la velocidad del brillo simulando la temperatura del mundo real.","يضبط تلقائيًا قوة وسرعة التلألؤ من خلال محاكاة درجة حرارة العالم الحقيقي.","Secara otomatis menyesuaikan kekuatan dan kecepatan kilau dengan mensimulasikan suhu dunia nyata."
Name_Humidity,湿度,湿度,Humidity,湿度,濕度,습도,Humedad,الرطوبة,Kelembaban
Description_Humidity,"現実の湿度を模倣して、揺らぎの質感を調整します。","現実の湿度を模倣して、揺らぎの質感を調整します。","Adjusts the texture of the shimmer by simulating real-world humidity.","通过模拟真实世界的湿度来调整闪光的纹理。","通過模擬真實世界的濕度來調整閃光的紋理。","실제 습도를 시뮬레이션하여 반짝임의 질감을 조정합니다.","Ajusta la textura del brillo simulando la humedad del mundo real.","يضبط نسيج التلألؤ من خلال محاكاة رطوبة العالم الحقيقي.","Menyesuaikan tekstur kilau dengan mensimulasikan kelembapan dunia nyata."
GroupName_ManualSettings,手動設定,手動設定,Manual Settings,手动设定,手動設定,수동 설정,Configuración manual,الإعدادات اليدوية,Pengaturan Manual
Name_Strength,揺らぎの強さ,揺らぎの強さ,Strength,强度,強度,강도,Fuerza,القوة,Kekuatan
Description_Strength,映像の歪みの大きさを調整します。,映像の歪みの大きさを調整します。,Adjusts the amount of image distortion.,调整图像失真的程度。,調整圖像失真的程度。,이미지 왜곡의 양을 조정합니다.,Ajusta la cantidad de distorsión de la imagen.,يضبط مقدار تشويه الصورة.,Menyesuaikan jumlah distorsi gambar.
Name_Scale,揺らぎの細かさ,揺らぎの細かさ,Scale,尺度,尺度,스케일,Escala,الحجم,Skala
Description_Scale,歪みのパターンの大きさを調整します。,歪みのパターンの大きさを調整します。,Adjusts the size of the distortion pattern.,调整失真图案的大小。,調整失真圖案的大小。,왜곡 패턴의 크기를 조정합니다.,Ajusta el tamaño del patrón de distorsión.,يضبط حجم نمط التشويه.,Menyesuaikan ukuran pola distorsi.
Name_FlowSpeed,流れの速さ,流れの速さ,Flow Speed,流速,流速,흐름 속도,Velocidad de flujo,سرعة التدفق,Kecepatan Aliran
